abbhakṣa+Sing+Nom	abbhakṣa
anadhyāya+Sing+Nom	anadhyāya

anaghā+Sing+Acc	anaghāam

anagni+Sing+Loc	anagnii

anaipuṇa+Sing+Acc	anaipuṇaam

anala+Sing+Acc	analaam

anamīva+Sing+Acc	anamīvaam

ananna+Sing+Ins	anannaā

anantaraya+Sing+Dat	anantarayae

anantariti+Sing+Dat	anantaritie

anantā+Sing+Acc	anantāam

ananyapūrvā+Sing+Acc	ananyapūrvāam

anartha+Sing+Nom	anartha

anas+Plur+Acc	anasaḥ

anas+Sing+Acc	anasam

anas+Sing+Gen	anasaḥ

anas+Sing+Ins	anasā

anas+Sing+Loc	anasi

anas+Sing+Nom	anas

anasūyā+Sing+Nom	anasūyā

anavalobhana+Sing+Nom	anavalobhana

anaya+Sing+Acc	anayaam

anaśana+Sing+Nom	anaśana

anaḍuh+Plur+Acc	anaḍuhaḥ

anaḍuh+Plur+Dat	anaḍuhbhyaḥ

anaḍuh+Sing+Acc	anaḍuham

anaḍuh+Sing+Gen	anaḍuhaḥ

anaḍuh+Sing+Loc	anaḍuhi

anaḍuh+Sing+Nom	anaḍuh

