abbhakṣa+Sing+Nom	abbhakṣa
acchāvāka+Sing+Gen	acchāvākaaḥ

acittamanas+Sing+Nom	acittamanas

acittapājas+Sing+Nom	acittapājas

acitti+Sing+Acc	acittiam

acyuta+Sing+Dat	acyutae

adana+Sing+Loc	adanai

adarśana+Sing+Abl	adarśanaaḥ

adarśana+Sing+Nom	adarśana

adbhuta+Plur+Loc	adbhutasu

adbhuta+Sing+Loc	adbhutai

addhāti+Plur+Nom	addhātiaḥ

adeva+Sing+Nom	adeva

adga+Plur+Acc	adgaaḥ

adharma+Sing+Acc	adharmaam

adharma+Sing+Nom	adharma

adharāraṇi+Sing+Acc	adharāraṇiam

adhaspada+Sing+Nom	adhaspada

adhaīṣa+Sing+Nom	adhaīṣa

adhaḥśayyā+Plur+Nom	adhaḥśayyāaḥ

adhibhūta+Sing+Nom	adhibhūta

adhidaivata+Sing+Nom	adhidaivata

adhidevana+Sing+Abl	adhidevanaaḥ

adhidevana+Sing+Acc	adhidevanaam

adhidevana+Sing+Loc	adhidevanai

adhidevana+Sing+Nom	adhidevana

adhigama+Plur+Loc	adhigamasu

adhigama+Sing+Nom	adhigama

adhigantṛ+Sing+Gen	adhigantṛaḥ

adhihastya+Sing+Acc	adhihastyaam

adhikaraṇa+Plur+Loc	adhikaraṇasu

adhikāra+Sing+Abl	adhikāraaḥ

adhipa+Sing+Nom	adhipa

adhipati+Plur+Nom	adhipatiaḥ

adhipati+Sing+Acc	adhipatiam

adhipati+Sing+Nom	adhipati

adhipā+Sing+Nom	adhipā

adhiratha+Sing+Acc	adhirathaam

adhirāja+Dual+Nom	adhirājaau

adhivaktṛ+Sing+Acc	adhivaktṛam

adhivaktṛ+Sing+Nom	adhivaktṛ

adhivapana+Sing+Abl	adhivapanaaḥ

adhivāsa+Sing+Nom	adhivāsa

adhiyajña+Sing+Acc	adhiyajñaam

adhiśrayaṇa+Sing+Abl	adhiśrayaṇaaḥ

adhiśrayaṇa+Sing+Acc	adhiśrayaṇaam

adhiṣavaṇa+Dual+Acc	adhiṣavaṇaau

adhiṣavaṇa+Dual+Nom	adhiṣavaṇaau

adhiṣavaṇa+Sing+Acc	adhiṣavaṇaam

adhiṣavaṇa+Sing+Nom	adhiṣavaṇa

adhiṣṭhāna+Dual+Acc	adhiṣṭhānaau

adhiṣṭhāna+Sing+Acc	adhiṣṭhānaam

adhopahāsa+Sing+Acc	adhopahāsaam

adhrigu+Sing+Acc	adhriguam

adhrigu+Sing+Nom	adhrigu

adhrigu+Sing+Voc	+?

adhva+Sing+Loc	adhvai

adhvan+Plur+Acc	adhvanaḥ

adhvan+Plur+Ins	adhvanbhiḥ

adhvan+Plur+Nom	adhvanaḥ

adhvan+Sing+Acc	adhvanam

adhvan+Sing+Gen	adhvanaḥ

adhvan+Sing+Loc	adhvani

adhvan+Sing+Nom	adhvan

adhvara+Plur+Acc	adhvaraaḥ

adhvara+Plur+Gen	adhvaraām

adhvara+Plur+Loc	adhvarasu

adhvara+Plur+Nom	adhvaraaḥ

adhvara+Sing+Acc	adhvaraam

adhvara+Sing+Dat	adhvarae

adhvara+Sing+Gen	adhvaraaḥ

adhvara+Sing+Ins	adhvaraā

adhvara+Sing+Loc	adhvarai

adhvara+Sing+Nom	adhvara

adhvara+Sing+Voc	+?

adhvaryu+Dual+Nom	adhvaryuau

adhvaryu+Plur+Acc	adhvaryuaḥ

adhvaryu+Plur+Ins	adhvaryubhiḥ

adhvaryu+Plur+Nom	adhvaryuaḥ

adhvaryu+Plur+Voc	+?

adhvaryu+Sing+Acc	adhvaryuam

adhvaryu+Sing+Dat	adhvaryue

adhvaryu+Sing+Gen	adhvaryuaḥ

adhvaryu+Sing+Ins	adhvaryuā

adhvaryu+Sing+Loc	adhvaryui

adhvaryu+Sing+Nom	adhvaryu

adhvaryu+Sing+Voc	+?

adhyakṣa+Plur+Abl	adhyakṣabhyaḥ

adhyakṣa+Sing+Dat	adhyakṣae

adhyakṣa+Sing+Nom	adhyakṣa

adhyastha+Sing+Abl	adhyasthaaḥ

adhyayana+Sing+Abl	adhyayanaaḥ

adhyayana+Sing+Acc	adhyayanaam

adhyayana+Sing+Gen	adhyayanaaḥ

adhyayana+Sing+Ins	adhyayanaā

adhyayana+Sing+Loc	adhyayanai

adhyayana+Sing+Nom	adhyayana

adhyāpana+Sing+Nom	adhyāpana

adhyātma+Sing+Acc	adhyātmaam

adhyātma+Sing+Nom	adhyātma

adhyāya+Plur+Acc	adhyāyaaḥ

adhyāya+Sing+Acc	adhyāyaam

adhyāya+Sing+Loc	adhyāyai

adhyāya+Sing+Nom	adhyāya

adhyūdhnī+Sing+Acc	adhyūdhnīam

adhīti+Plur+Acc	adhītiaḥ

adhīti+Sing+Loc	adhītii

adhīvāsa+Plur+Loc	adhīvāsasu

adhīvāsa+Sing+Acc	adhīvāsaam

adhīvāsa+Sing+Ins	adhīvāsaā

adhīvāsa+Sing+Nom	adhīvāsa

adhṛti+Sing+Nom	adhṛti

aditi+Sing+Acc	aditiam

aditi+Sing+Dat	aditie

aditi+Sing+Gen	aditiaḥ

aditi+Sing+Ins	aditiā

aditi+Sing+Nom	aditi

aditi+Sing+Voc	+?

adman+Sing+Acc	admanam

adravya+Sing+Acc	adravyaam

adri+Dual+Nom	adriau

adri+Plur+Acc	adriaḥ

adri+Plur+Ins	adribhiḥ

adri+Plur+Nom	adriaḥ

adri+Plur+Voc	+?

adri+Sing+Abl	adriaḥ

adri+Sing+Acc	adriam

adri+Sing+Gen	adriaḥ

adri+Sing+Ins	adriā

adri+Sing+Nom	adri

advāra+Sing+Ins	advāraā

adya+Sing+Dat	adyae

agastya+Sing+Acc	agastyaam

agastya+Sing+Gen	agastyaaḥ

agastya+Sing+Nom	agastya

agha+Plur+Nom	aghaaḥ

agha+Sing+Acc	aghaam

agha+Sing+Nom	agha

aghahāra+Sing+Nom	aghahāra

aghahārā+Sing+Nom	aghahārā

aghamarṣaṇa+Sing+Acc	aghamarṣaṇaam

aghamarṣaṇa+Sing+Nom	aghamarṣaṇa

aghnya+Dual+Nom	aghnyaau

aghnyā+Plur+Acc	aghnyāaḥ

aghnyā+Plur+Dat	aghnyābhyaḥ

aghnyā+Plur+Nom	aghnyāaḥ

aghnyā+Plur+Voc	+?

aghnyā+Sing+Acc	aghnyāam

aghnyā+Sing+Gen	aghnyāaḥ

aghnyā+Sing+Voc	+?

agni+Dual+Acc	agniau

agni+Dual+Dat	agnibhyām

agni+Dual+Gen	agnioḥ

agni+Dual+Ins	agnibhyām

agni+Dual+Loc	agnioḥ

agni+Dual+Nom	agniau

agni+Dual+Voc	+?

agni+Plur+Acc	agniaḥ

agni+Plur+Dat	agnibhyaḥ

agni+Plur+Gen	agniām

agni+Plur+Ins	agnibhiḥ

agni+Plur+Loc	agniṣu

agni+Plur+Nom	agniaḥ

agni+Plur+Voc	+?

agni+Sing+Abl	agniaḥ

agni+Sing+Acc	agniam

agni+Sing+Dat	agnie

agni+Sing+Gen	agniaḥ

agni+Sing+Ins	agniā

agni+Sing+Loc	agnii

agni+Sing+Nom	agni

agni+Sing+Voc	+?

agnicityā+Sing+Loc	agnicityāi

agnicityā+Sing+Nom	agnicityā

agnidh+Sing+Nom	agnidh

agnidhāna+Sing+Nom	agnidhāna

agnigarbha+Sing+Nom	agnigarbha

agnihotra+Sing+Abl	agnihotraaḥ

agnihotra+Sing+Acc	agnihotraam

agnihotra+Sing+Gen	agnihotraaḥ

agnihotra+Sing+Ins	agnihotraā

agnihotra+Sing+Loc	agnihotrai

agnihotra+Sing+Nom	agnihotra

agnihotrahavaṇī+Sing+Acc	agnihotrahavaṇīam

agnihotrahavaṇī+Sing+Ins	agnihotrahavaṇīā

agnihotrī+Sing+Nom	agnihotrī

agnipada+Sing+Acc	agnipadaam

agniṣvātta+Plur+Nom	agniṣvāttaaḥ

agniṣvātta+Plur+Voc	+?

agniṣṭa+Sing+Loc	agniṣṭai

agniṣṭha+Sing+Abl	agniṣṭhaaḥ

agniṣṭha+Sing+Acc	agniṣṭhaam

agniṣṭha+Sing+Loc	agniṣṭhai

agniṣṭha+Sing+Nom	agniṣṭha

agniṣṭhā+Sing+Acc	agniṣṭhāam

agniṣṭhā+Sing+Nom	agniṣṭhā

agniṣṭoma+Dual+Acc	agniṣṭomaau

agniṣṭoma+Dual+Nom	agniṣṭomaau

agniṣṭoma+Plur+Nom	agniṣṭomaaḥ

agniṣṭoma+Sing+Acc	agniṣṭomaam

agniṣṭoma+Sing+Gen	agniṣṭomaaḥ

agniṣṭoma+Sing+Nom	agniṣṭoma

agniṣṭut+Sing+Nom	agniṣṭut

agnyagāra+Sing+Gen	agnyagāraaḥ

agnyupasthāna+Sing+Acc	agnyupasthānaam

agnyupasthāna+Sing+Nom	agnyupasthāna

agnyādheya+Sing+Acc	agnyādheyaam

agnyādheya+Sing+Gen	agnyādheyaaḥ

agnyādheya+Sing+Ins	agnyādheyaā

agnyādheya+Sing+Loc	agnyādheyai

agnyādheya+Sing+Nom	agnyādheya

agnāviṣṇu+Dual+Nom	agnāviṣṇuau

agnāviṣṇu+Dual+Voc	+?

agnāyī+Sing+Nom	agnāyī

agnīdh+Sing+Dat	agnīdhe

agnīdh+Sing+Nom	agnīdh

agnīdh+Sing+Voc	+?

agnīṣoma+Dual+Acc	agnīṣomaau

agnīṣoma+Dual+Dat	agnīṣomabhyām

agnīṣoma+Dual+Gen	agnīṣomaoḥ

agnīṣoma+Dual+Ins	agnīṣomabhyām

agnīṣoma+Dual+Nom	agnīṣomaau

agnīṣoma+Dual+Voc	+?

agnīṣoma+Plur+Nom	agnīṣomaaḥ

agnīṣoma+Plur+Voc	+?

agra+Dual+Acc	agraau

agra+Dual+Ins	agrabhyām

agra+Dual+Nom	agraau

agra+Plur+Abl	agrabhyaḥ

agra+Plur+Acc	agraaḥ

agra+Plur+Ins	agrabhiḥ

agra+Plur+Loc	agrasu

agra+Plur+Nom	agraaḥ

agra+Sing+Abl	agraaḥ

agra+Sing+Acc	agraam

agra+Sing+Ins	agraā

agra+Sing+Loc	agrai

agra+Sing+Nom	agra

agriya+Sing+Nom	agriya

agrū+Plur+Acc	agrūaḥ

